,610,710,810,910,1010,1110,1210,1310,1410,1510,1610,1710,1810,1910,2010,2110,2210,2310,2410,2510,2610,2710,2810,2910,3010,3110,3210,3310,3410,3510,3610,3710,3810,3910,4010,4110,4210,4310,4410,4510,4610,4710,4810,4910,5010,5110,5210,5310,5410
600,119,128,136,144,152,161,169,177,185,194,202,200,208,216,223,231,239,247,255,263,271,278,286,294,332,340,349,358,366,375,383,392,401,409,418,426,435,444,452,461,469,478,487,495,504,512,521,530,538
700,124,133,142,151,160,169,178,187,196,196,204,213,221,230,239,247,256,264,273,281,290,299,307,316,356,366,375,385,394,403,413,422,432,441,450,460,469,479,488,497,507,516,526,535,544,554,563,573,582
800,129,139,149,159,168,178,188,188,198,207,216,226,235,244,254,263,272,282,291,300,310,319,328,338,381,391,401,411,422,432,442,452,462,473,483,493,503,514,524,534,544,554,565,575,585,595,605,616,626
900,134,145,155,166,176,187,188,198,208,218,228,238,249,259,269,279,289,299,309,319,329,339,349,359,405,416,427,438,449,460,471,482,493,504,515,526,537,548,560,571,582,593,604,615,626,637,648,659,670
1000,139,150,162,173,176,186,197,208,219,230,240,251,262,273,284,295,305,316,327,338,349,359,370,381,430,441,453,465,477,489,501,512,524,536,548,560,572,583,595,607,619,631,643,654,666,678,690,702,714
1100,144,156,168,172,183,195,206,218,229,241,253,264,276,287,299,310,322,333,345,357,368,380,391,403,454,467,479,492,505,517,530,543,555,568,580,593,606,618,631,644,656,669,682,694,707,719,732,745,757
1200,149,162,175,179,191,203,215,228,240,252,265,277,289,302,314,326,338,351,363,375,388,400,412,425,479,492,505,519,532,546,559,573,586,600,613,626,640,653,667,680,694,707,721,734,747,761,774,788,801
1300,154,167,172,186,199,212,225,238,251,264,277,290,303,316,329,342,355,368,381,394,407,420,433,446,503,517,532,546,560,574,589,603,617,631,646,660,674,688,703,717,731,745,760,774,788,802,817,831,845
1400,159,173,179,192,206,220,234,248,261,275,289,303,316,330,344,358,372,385,399,413,427,440,454,468,527,543,558,573,588,603,618,633,648,663,678,693,708,723,738,753,768,783,799,814,829,844,859,874,889
1500,163,170,185,199,214,228,243,257,272,286,301,315,330,345,359,374,388,403,417,432,446,461,475,490,552,568,584,600,615,631,647,663,679,695,711,726,742,758,774,790,806,822,837,853,869,885,901,917,933
1600,168,176,191,206,221,237,252,267,283,298,313,328,344,359,374,389,405,420,435,450,466,481,496,512,576,593,610,626,643,660,676,693,710,726,743,760,776,793,810,826,843,860,876,893,910,926,943,960,976
1700,165,181,197,213,229,245,261,277,293,309,325,341,357,373,389,405,421,437,453,469,485,501,517,533,601,618,636,653,671,688,706,723,741,758,776,793,811,828,846,863,880,898,915,933,950,968,985,1003,1020
1800,170,187,203,220,237,254,270,287,304,321,337,354,371,388,404,421,438,455,471,488,505,522,538,555,625,644,662,680,698,717,735,753,772,790,808,826,845,863,881,900,918,936,954,973,991,1009,1028,1046,1064
1900,174,192,209,227,244,262,279,297,314,332,349,367,384,402,419,437,454,472,489,507,524,542,559,577,650,669,688,707,726,745,764,783,802,822,841,860,879,898,917,936,955,974,993,1013,1032,1051,1070,1089,1108
2000,179,197,216,234,252,270,289,307,325,343,361,380,398,416,434,453,471,489,507,526,544,562,580,598,674,694,714,734,754,774,794,814,833,853,873,893,913,933,953,973,993,1012,1032,1052,1072,1092,1112,1132,1152
2100,184,203,222,241,260,279,298,317,336,355,374,393,412,430,449,468,487,506,525,544,563,582,601,620,699,719,740,761,782,802,823,844,864,885,906,926,947,968,989,1009,1030,1051,1071,1092,1113,1133,1154,1175,1196
2200,188,208,228,248,267,287,307,327,346,366,386,405,425,445,465,484,504,524,543,563,583,603,622,642,723,745,766,788,809,831,852,874,895,917,938,960,981,1003,1024,1046,1067,1089,1110,1132,1153,1175,1196,1218,1239
2300,193,214,234,255,275,295,316,336,357,377,398,418,439,459,480,500,521,541,561,582,602,623,643,664,748,770,792,815,837,859,882,904,926,948,971,993,1015,1038,1060,1082,1105,1127,1149,1172,1194,1216,1239,1261,1283
2400,198,219,240,261,283,304,325,346,367,389,410,431,452,473,495,516,537,558,579,601,622,643,664,685,772,795,818,841,865,888,911,934,957,980,1003,1026,1050,1073,1096,1119,1142,1165,1188,1211,1235,1258,1281,1304,1327
2500,203,224,246,268,290,312,334,356,378,400,422,444,466,488,510,532,554,576,598,619,641,663,685,707,797,820,844,868,892,916,940,964,988,1012,1036,1060,1084,1108,1132,1155,1179,1203,1227,1251,1275,1299,1323,1347,1371
2600,207,230,253,275,298,321,343,366,389,411,434,457,479,502,525,547,570,593,616,638,661,684,706,729,821,846,870,895,920,945,969,994,1019,1044,1068,1093,1118,1143,1167,1192,1217,1242,1266,1291,1316,1340,1365,1390,1415
2700,212,235,259,282,306,329,352,376,399,423,446,470,493,516,540,563,587,610,634,657,680,704,727,751,845,871,897,922,948,973,999,1024,1050,1075,1101,1126,1152,1178,1203,1229,1254,1280,1305,1331,1356,1382,1407,1433,1459
2800,217,241,265,289,313,337,362,386,410,434,458,482,507,531,555,579,603,627,652,676,700,724,748,772,870,896,923,949,975,1002,1028,1054,1081,1107,1133,1160,1186,1212,1239,1265,1292,1318,1344,1371,1397,1423,1450,1476,1502
2900,221,246,271,296,321,346,371,396,421,445,470,495,520,545,570,595,620,645,670,695,719,744,769,794,894,921,949,976,1003,1030,1057,1084,1112,1139,1166,1193,1220,1247,1275,1302,1329,1356,1383,1410,1438,1465,1492,1519,1546
3000,226,252,277,303,329,354,380,405,431,457,482,508,534,559,585,611,636,662,688,713,739,765,790,816,919,947,975,1003,1031,1059,1087,1115,1143,1170,1198,1226,1254,1282,1310,1338,1366,1394,1422,1450,1478,1506,1534,1562,1590
3100,231,257,283,310,336,363,389,415,442,468,495,521,547,574,600,627,653,679,706,732,759,785,811,838,943,972,1001,1030,1058,1087,1116,1145,1173,1202,1231,1260,1289,1317,1346,1375,1404,1432,1461,1490,1519,1548,1576,1605,1634
3200,235,262,290,317,344,371,398,425,452,480,507,534,561,588,615,642,669,697,724,751,778,805,832,859,968,997,1027,1056,1086,1116,1145,1175,1204,1234,1264,1293,1323,1352,1382,1411,1441,1471,1500,1530,1559,1589,1618,1648,1678
